Metric,Raw,Cleaned,No Fillers
Semantic Similarity,0.759,0.812,0.868
Word Error Rate (WER),0.782,0.455,0.302
Levenshtein Match Ratio,0.303,0.798,0.879
Match Error Rate (MER),0.782,0.455,0.302
Content Word Accuracy,0.643,0.643,0.688
Content Word Precision,0.75,0.692,0.846
Content Word Recall,0.643,0.643,0.688
BERTScore Precision,0.332,0.561,0.655
BERTScore Recall,0.052,0.233,0.537
BERTScore F1,0.19,0.393,0.596
