Metric,Raw,Cleaned,No Fillers
Semantic Similarity,0.736,0.846,0.845
Word Error Rate (WER),0.717,0.377,0.289
Levenshtein Match Ratio,0.291,0.046,0.743
Match Error Rate (MER),0.717,0.377,0.283
Content Word Accuracy,0.765,0.824,0.824
Content Word Precision,0.867,0.875,0.875
Content Word Recall,0.765,0.824,0.824
BERTScore Precision,0.474,0.597,0.705
BERTScore Recall,0.326,0.402,0.632
BERTScore F1,0.4,0.498,0.669
