Metric,Raw,Cleaned,No Fillers
Semantic Similarity,0.806,0.896,0.957
Word Error Rate (WER),0.868,0.338,0.172
Levenshtein Match Ratio,0.012,0.313,0.739
Match Error Rate (MER),0.868,0.338,0.172
Content Word Accuracy,0.905,1.0,1.0
Content Word Precision,0.95,1.0,1.0
Content Word Recall,0.905,1.0,1.0
BERTScore Precision,0.266,0.634,0.784
BERTScore Recall,0.11,0.485,0.68
BERTScore F1,0.188,0.559,0.732
