Metric,Raw,Cleaned,No Fillers
Semantic Similarity,0.482,0.615,0.624
Word Error Rate (WER),0.912,0.667,0.615
Levenshtein Match Ratio,0.565,0.642,0.684
Match Error Rate (MER),0.912,0.667,0.615
Content Word Accuracy,0.727,0.667,0.667
Content Word Precision,0.667,0.8,0.8
Content Word Recall,0.727,0.667,0.667
BERTScore Precision,0.399,0.261,0.348
BERTScore Recall,-0.168,-0.213,-0.053
BERTScore F1,0.101,0.014,0.141
