Metric,Raw,Cleaned,No Fillers
Semantic Similarity,0.843,0.846,0.835
Word Error Rate (WER),0.525,0.279,0.292
Levenshtein Match Ratio,0.495,0.241,0.336
Match Error Rate (MER),0.492,0.262,0.275
Content Word Accuracy,0.667,0.786,0.786
Content Word Precision,0.714,0.846,0.786
Content Word Recall,0.667,0.786,0.786
BERTScore Precision,0.48,0.595,0.587
BERTScore Recall,0.471,0.599,0.58
BERTScore F1,0.476,0.598,0.584
